feature,shap_importance
AVG_ATTENDANCE_ZONE,0.23950233898482529
SALES_CUMUL,0.08319430637282252
MATCH_DATE,0.05069187982611282
ABOVENDUMAX,0.021850395571047898
REPUTATION_LEVEL_ADVERSAIRE,0.01459710927930791
ON_3_DAY_SALES_ROLLING_CUMUL,0.010442076651183416
MATCH_ID,0.004389702103986688
DAYOFMONTH_SIN,0.002459896899692372
OBSERVATION_DATE,0.0
J_MOINS,0.0
ADVERSAIRE,0.0
COMPETITION_STAGE,0.0
COMPETITION,0.0
SAISON,0.0
ZONE,0.0
NB_CATEGORIES,0.0
INVITMAX,0.0
AYANTDROITMAX,0.0
AVERAGE_PRICE_ZOT,0.0
OLRANKB4MATCH,0.0
VICTORY_LOSS_TREND_OL,0.0
VICTORY_LOSS_TREND_ADVERSAIRE,0.0
IS_HOLIDAYS,0.0
PRIX_MOYEN_ZONE,0.0
MATCH_TEMPERATURE,0.0
MATCH_TIME,0.0
BACK_TO_SCHOOL,0.0
DAY_OF_WEEK,0.0
DAYOFYEAR_SIN,0.0
DAYOFYEAR_COS,0.0
MONTHOFYEAR_SIN,0.0
NUMBER_OF_HOME_MATCHES_ON_LAST_30_DAYS,0.0
MONTHOFYEAR_COS,0.0
DAYOFMONTH_COS,0.0
DAYOFWEEK_SIN,0.0
DAYOFWEEK_COS,0.0
HOUROFDAY_SIN,0.0
HOUROFDAY_COS,0.0
MINUTEOFHOUR_SIN,0.0
MINUTEOFHOUR_COS,0.0
